Name,ScripCode,
APOLSINHOT,6302,
NIFTYETF,6353,
NATIONALUM,6364,
LAMBODHARA,6407,
KRITI,6417,
MANORG,6422,
TECHNOE,6445,
TECH,6462,
IRIS,6489,
GRPLTD,6543,
NYKAA,6545,
LAXMICOT,6568,
FINOPB,6579,
SONATSOFTW,6596,
GENUSPAPER,6600,
DSPNEWETF,6606,
SJS,6643,
POLICYBZR,6656,
SIGACHI,6663,
FOODSIN,6673,
PAYTM,6705,
MOLDTKPAC,6713,
SAPPHIRE,6718,
JINDALSTEL,6733,
MARSHALL,6757,
SBC,6792,
STEELCAS,6803,
LATENTVIEW,6818,
FOCUS,6836,
SMLT,6843,
GREENLAM,6848,
DHRUV,6858,
BAJAJHCARE,6863,
VISHNU,6908,
RPPL,6913,
TARSONS,6943,
GANECOS,6944,
LINC,6951,
MENONBE,6961,
GOCOLORS,6964,
DMCC,6973,
BSOFT,6994,
SHIVALIK,7016,
ASIANENE,7030,
HESTERBIO,7048,
ACCELYA,7053,
MAHKTECH,7074,
STARHEALTH,7083,
TEGA,7105,
JMA,7109,
ANANDRATHI,7145,
RATEGAIN,7177,
BBETF0432,7196,
SHRIRAMPPS,7200,
JETFREIGHT,7211,
SBIETFQLTY,7218,
MAPMYINDIA,7227,
HCLTECH,7229,
METROBRAND,7242,
MEDPLUS,7254,
JTLIND,7287,
DCMSRIND,7325,
ABSLNN50ET,7339,
SETFNN50,7353,
DATAPATTNS,7358,
SETFNIFBK,7361,
STAR,7374,
HPAL,7376,
SUPRIYA,7390,
RAJESHEXPO,7401,
GLENMARK,7406,
KOTAKALPHA,7412,
MANAKALUCO,7420,
MONQ50,7422,
DSPN50ETF,7451,
DSPQ50ETF,7456,
MANAKSTEEL,7463,
WOCKPHARMA,7506,
LCCINFOTEC,7529,
NRBBEARING,7553,
UNITEDPOLY,7560,
CMSINFO,7603,
IMAGICAA,7672,
MONARCH,7679,
NETF,7838,
RAMCOSYS,7851,
INOXWIND,7852,
GEPIL,7862,
AUTOBEES,7880,
LFIC,7902,
AGSTRA,7927,
ZYDUSLIFE,7929,
AVANTIFEED,7936,
MALLCOM,7965,
MAKEINDIA,7979,
GRWRHITECH,7982,
SILVER,8003,
MAHLIFE,8050,
KTKBANK,8054,
DALBHARAT,8075,
KOTAKMID50,8077,
SILVERBEES,8080,
AWL,8110,
RPSGVENT,8119,
AJANTPHARM,8124,
BLBLIMITED,8132,
MEGASTAR,8153,
FIBERWEB,8159,
SPENCERS,8163,
MANYAVAR,8167,
SAGARDEEP,8175,
MOMOMENTUM,8182,
BLUESTARCO,8311,
MIDCAPETF,8413,
VIPULLTD,8424,
MITCON,8469,
XELPMOC,8477,
TVSMOTOR,8479,
MID150BEES,8506,
GATEWAY,8510,
GMRP&UI,8529,
CHALET,8546,
NLCINDIA,8585,
MSUMI,8596,
INDOBORAX,8614,
KOTAKLOVOL,8632,
VETO,8652,
MOLOWVOL,8654,
VRLLOG,8696,
SHAILY,8727,
PNBGILTS,8736,
OBCL,8797,
PRIVISCL,8825,
AVROIND,8827,
GAEL,8828,
BCG,8833,
USHAMART,8840,
UMAEXPORTS,8842,
CHOICEIN,8866,
TNIDETF,8882,
VERANDA,8890,
RITCO,8944,
ELDEHSG,8953,
TTML,8954,
HARDWYN,8962,
HARIOMPIPE,8968,
MRO-TEK,8998,
ANUP,9014,
VCL,9020,
UFO,9039,
AGROPHOS,9046,
ROTO,9049,
PIXTRANS,9087,
ARVINDFASN,9111,
INDOAMIN,9116,
TIPSINDLTD,9117,
BALAJITELE,9158,
UTISXN50,9168,
TPLPLASTEH,9219,
ARROWGREEN,9260,
STLTECH,9309,
PNC,9342,
IOB,9348,
TAJGVK,9354,
MSTCLTD,9356,
CAMPUS,9362,
TRU,9378,
CREATIVEYE,9384,
PNCINFRA,9385,
RAINBOW,9408,
SILVERTUC,9422,
SKIPPER,9428,
AXISCADES,9436,
LICI,9480,
SAKAR,9539,
RVNL,9552,
PRUDENT,9553,
AKSHAR,9558,
MAHESHWARI,9576,
METROPOLIS,9581,
POLYCAB,9590,
VENUSPIPES,9592,
DELHIVERY,9599,
SPLPETRO,9617,
KHANDSE,9641,
MEDICO,9667,
HIKAL,9668,
KPITTECH,9683,
TRIDENT,9685,
PARADEEP,9741,
ETHOSLTD,9750,
EMUDHRA,9756,
AETHER,9810,
HAVELLS,9819,
NV20BEES,9847,
CHEVIOT,9879,
SMARTLINK,9889,
AXITA,9902,
NEOGEN,9917,
ALANKIT,9921,
VIKASLIFE,9931,
ONEPOINT,9939,
EMAMIPAP,10074,
GODREJCP,10099,
ORICONENT,10159,
SETFNIF50,10176,
BALKRISHNA,10181,
SHYAMCENT,10188,
ADANIENSOL,10217,
MANORAMA,10227,
CONFIPET,10238,
SYNGENE,10243,
KAYA,10276,
NGLFINE,10277,
AYMSYNTEX,10285,
PPL,10297,
RAMASTEEL,10300,
AURUM,10310,
RADHIKAJWE,10343,
DGCONTENT,10346,
CSLFINANCE,10350,
JISLJALEQS,10397,
STEELCITY,10406,
MUTHOOTCAP,10415,
DYCL,10417,
LUPIN,10440,
MCDOWELL-N,10447,
SATIN,10453,
ARVSMART,10457,
POWERMECH,10473,
RAMRAT,10485,
MOHEALTH,10508,
UTINIFTETF,10511,
KOTAKCONS,10512,
UTISENSETF,10515,
SHARDAMOTR,10530,
NAVKARCORP,10557,
RAMAPHO,10568,
NIFTYBEES,10576,
KRBL,10577,
MPSLTD,10578,
MARKSANS,10579,
TCI,10580,
SHREEPUSHK,10588,
LOYALTEX,10590,
GUJGASLTD,10599,
BHARTIARTL,10604,
HDFCNEXT50,10619,
HDFCNIF100,10633,
ASAL,10634,
OLECTRA,10637,
PONNIERODE,10661,
PNB,10666,
KOTAKMNC,10676,
NIFTYQLITY,10690,
MOMENTUM,10693,
INDIAMART,10726,
SPORTKING,10733,
OFSS,10738,
UNIONBANK,10753,
APTECHT,10755,
DSPSILVETF,10761,
OAL,10768,
SYRMA,10793,
CANBK,10794,
MOQUALITY,10822,
MOVALUE,10825,
DREAMFOLKS,10859,
GRMOVER,10871,
HDFCSILVER,10876,
DBOL,10893,
GENESYS,10905,
OMAXAUTO,10922,
GODREJIND,10925,
JUNIORBEES,10939,
DIVISLAB,10940,
TMB,10945,
STCINDIA,10948,
RADICO,10990,
INDORAMA,10993,
